InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,PrimaryPositionPlayer,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,FALSE,Victor Schlitzer,0,3,78,2,16,1,1,0,2,1,0.205,0.244,0,19,0,1914,schlibi01
FALSE,FALSE,Denny Sullivan,1,4,925,106,221,25,8,1,51,20,0.239,0.286,0,265,0,1909,sullide02
FALSE,FALSE,Will Vest,0,4,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2024,vestwi01
FALSE,FALSE,Tyler Green,0,4,113,6,22,9,0,1,10,0,0.195,0.301,1,34,0,1998,greenty01
FALSE,FALSE,Tim Hulett,1,12,2128,245,529,90,13,48,220,14,0.249,0.371,0,789,0,1995,huletti01
FALSE,FALSE,Gerard Lipscomb,1,1,96,11,31,9,1,0,8,0,0.323,0.438,0,42,0,1937,lipscni01
FALSE,FALSE,Irving Lopez,1,1,11,0,0,0,0,0,1,0,0.000,0.000,0,0,0,2023,lopezir01
FALSE,FALSE,Kyle McCann,1,1,140,13,33,4,0,5,15,0,0.236,0.371,0,52,0,2024,mccanky01
FALSE,TRUE,Frank McCormick,1,13,5723,722,1711,334,26,128,951,27,0.299,0.434,9,2481,6,1948,mccorfr01
FALSE,FALSE,Roy Mitchell,0,7,235,22,44,7,1,0,7,3,0.187,0.226,0,53,0,1919,mitchro01
FALSE,FALSE,Tom Barry,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1904,barryto01
FALSE,FALSE,Ike Butler,0,1,53,7,6,1,0,0,5,1,0.113,0.132,0,7,0,1902,butleik01
FALSE,FALSE,Owen Friend,1,5,598,69,136,24,2,13,76,2,0.227,0.339,0,203,0,1956,frienow01
FALSE,FALSE,Jarrett Grube,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2014,grubeja01
FALSE,FALSE,Dick Hahn,1,1,3,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1940,hahndi01
FALSE,FALSE,Herb Hunter,1,4,49,8,8,0,0,1,4,0,0.163,0.224,0,11,0,1921,huntehe01
FALSE,FALSE,Kevin Jarvis,0,12,188,19,30,6,0,1,14,0,0.160,0.207,0,39,0,2006,jarvike01
FALSE,FALSE,Bob Keegan,0,6,196,14,32,2,1,0,19,0,0.163,0.184,1,36,0,1958,keegabo01
FALSE,FALSE,Don Leppert,1,1,70,6,8,0,1,0,2,1,0.114,0.143,0,10,0,1955,leppedo01
FALSE,FALSE,Kent Mercker,0,18,248,12,28,5,2,1,18,0,0.113,0.161,0,40,2,2008,merckke01
FALSE,FALSE,Max Alvis,1,9,3629,421,895,142,22,111,373,43,0.247,0.390,2,1414,0,1970,alvisma01
FALSE,FALSE,Cad Coles,1,1,194,17,49,7,3,1,25,6,0.253,0.335,0,65,0,1914,colesca01
FALSE,TRUE,Walton Cruise,1,10,2321,293,644,83,39,30,272,49,0.277,0.386,0,895,0,1924,cruiswa01
FALSE,FALSE,Dennis Driscoll,1,1,19,2,3,0,0,0,0,0,0.158,0.158,0,3,0,1885,driscde02
FALSE,FALSE,Tom McBride,1,6,1186,140,326,39,16,2,141,13,0.275,0.340,0,403,0,1948,mcbrito01
FALSE,FALSE,Cody Reed,0,6,25,1,0,0,0,0,0,0,0.000,0.000,0,0,0,2021,reedco01
FALSE,FALSE,Jim Schelle,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1939,schelji01
FALSE,FALSE,Bill Wolff,0,1,3,0,1,0,0,0,0,0,0.333,0.333,0,1,0,1902,wolfebi01
FALSE,FALSE,Marcos Armas,1,1,31,7,6,2,0,1,1,1,0.194,0.355,0,11,0,1993,armasma01
FALSE,FALSE,Charlie Barber,1,1,204,38,41,1,4,0,0,0,0.201,0.245,0,50,0,1884,barbech01
FALSE,FALSE,Jack Armstrong,0,7,185,8,21,2,0,0,8,0,0.114,0.124,1,23,1,1994,armstja01
FALSE,FALSE,Vern Benson,1,5,104,17,21,5,1,3,12,0,0.202,0.356,0,37,0,1953,bensove01
FALSE,FALSE,Bob Ewing,0,11,872,77,170,27,7,3,58,5,0.195,0.252,0,220,0,1912,ewingbo01
FALSE,FALSE,Randy Messenger,0,5,6,0,1,0,0,0,0,0,0.167,0.167,0,1,0,2009,messera01
FALSE,FALSE,Red Ostergard,1,1,11,2,4,0,0,0,0,0,0.364,0.364,0,4,0,1921,osterre01
FALSE,FALSE,Adley Rutschman,1,3,1557,222,407,87,3,52,201,6,0.261,0.421,2,656,4,2024,rutscad01
FALSE,TRUE,Mike Ryan,1,11,1920,146,370,60,12,28,161,4,0.193,0.280,0,538,0,1974,ryanmi02
FALSE,FALSE,Dick Strahs,0,1,1,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1954,strahdi01
FALSE,FALSE,Leon Wagner,1,12,4426,636,1202,150,15,211,669,54,0.272,0.455,2,2015,2,1969,wagnele01
FALSE,FALSE,Marty Herrmann,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1918,herrmma01
FALSE,FALSE,Jose Nieves,1,5,530,55,128,20,5,9,51,2,0.242,0.349,0,185,0,2002,nievejo01
FALSE,TRUE,Wally Pipp,1,15,6914,974,1941,311,148,90,998,125,0.281,0.408,0,2818,1,1928,pippwa01
FALSE,FALSE,Jordan Westburg,1,2,624,83,164,43,7,21,86,10,0.263,0.455,1,284,1,2024,westbjo01
FALSE,FALSE,Beau Allred,1,3,165,19,38,7,0,4,15,2,0.230,0.345,0,57,0,1991,allrebe01
FALSE,FALSE,Jeff Holly,0,3,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1979,hollyje01
FALSE,FALSE,Joe Kelly,1,5,1341,129,300,38,22,6,117,66,0.224,0.298,0,400,0,1919,kellyjo03
FALSE,FALSE,Harry Maupin,0,2,17,0,3,0,0,0,1,0,0.176,0.176,0,3,0,1899,maupiha01
FALSE,FALSE,Frank Ringo,1,4,506,49,97,24,3,0,32,0,0.192,0.251,0,127,0,1886,ringofr01
FALSE,FALSE,Jesen Therrien,0,1,2,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2017,therrje01
FALSE,FALSE,Joe Bean,1,1,182,13,40,2,1,0,5,9,0.220,0.242,0,44,0,1902,beanjo01
FALSE,FALSE,Charley Bassett,1,9,3493,392,806,114,49,15,402,116,0.231,0.304,0,1063,0,1892,bassech01
FALSE,FALSE,Cole Irvin,0,6,11,1,2,0,0,0,1,0,0.182,0.182,0,2,0,2024,irvinco01
FALSE,FALSE,Wally Judnich,1,7,2786,424,782,150,29,90,420,20,0.281,0.452,0,1260,0,1949,judniwa01
FALSE,FALSE,DJ Peters,1,1,223,29,44,9,1,13,38,2,0.197,0.422,0,94,0,2021,peterdj01
FALSE,FALSE,Esteban Quiroz,1,1,40,3,11,0,0,0,3,1,0.275,0.275,0,11,0,2022,quiroes01
FALSE,FALSE,Chubby Snyder,1,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1914,snydech03
FALSE,FALSE,Larry Thomas,0,3,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1997,thomala01
FALSE,FALSE,Bill Leard,1,1,3,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1917,leardbi01
FALSE,FALSE,Danny Litwhiler,1,11,3494,428,982,162,32,107,451,11,0.281,0.438,1,1529,0,1951,litwhda01
FALSE,FALSE,David Manning,0,1,1,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2003,mannida01
FALSE,FALSE,Jeff Peterek,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1989,peterje01
FALSE,FALSE,Cal Quantrill,0,6,27,1,3,0,0,0,1,0,0.111,0.111,0,3,0,2024,quantca01
FALSE,FALSE,Brian Reith,0,3,19,0,3,0,0,0,2,1,0.158,0.158,0,3,0,2004,reithbr01
FALSE,FALSE,Juan Rios,1,1,196,20,44,5,1,1,5,1,0.224,0.276,0,54,0,1969,riosju01
FALSE,FALSE,Matt Shoemaker,0,9,6,0,0,0,0,0,0,0,0.000,0.000,0,0,3,2021,shoemma01
FALSE,FALSE,Don Stanhouse,0,10,135,9,25,3,0,1,9,0,0.185,0.230,1,31,0,1982,stanhdo01
FALSE,FALSE,Brandon Walter,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2023,waltebr01
FALSE,FALSE,Brant Brown,1,5,1056,142,261,52,11,45,146,15,0.247,0.445,0,470,0,2000,brownbr01
FALSE,FALSE,Chase d'Arnaud,1,7,550,68,122,27,5,5,40,29,0.222,0.316,0,174,0,2018,darnach01
FALSE,FALSE,Taylor Douthit,1,11,4127,665,1201,220,38,29,396,67,0.291,0.384,0,1584,0,1933,douthta01
FALSE,FALSE,Greg Harts,1,1,2,0,1,0,0,0,0,0,0.500,0.500,0,1,0,1973,hartsgr01
FALSE,FALSE,Tom House,0,8,35,3,9,1,0,0,4,0,0.257,0.286,0,10,0,1978,houseto01
FALSE,FALSE,Norm McNeil,1,1,9,0,3,0,0,0,1,0,0.333,0.333,0,3,0,1919,mcneino01
FALSE,TRUE,Kid Nichols,0,15,2090,273,472,58,24,16,278,19,0.226,0.300,0,626,0,1906,nichoki01
FALSE,TRUE,Tony Oliva,1,15,6301,870,1917,329,48,220,947,86,0.304,0.476,8,3002,11,1976,olivato01
FALSE,FALSE,Ryan Rowland-Smith,0,5,5,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2014,rowlary01
FALSE,FALSE,Angel Salazar,1,5,886,69,188,33,6,2,59,6,0.212,0.270,0,239,0,1988,salazan01
FALSE,FALSE,Dan Sherman,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1914,shermda01
FALSE,FALSE,Mike Trujillo,0,5,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1989,trujimi01
FALSE,TRUE,Jimmy Austin,1,18,5388,661,1328,174,76,13,390,244,0.246,0.314,0,1693,0,1929,austiji01
FALSE,FALSE,Andy Abad,1,3,21,1,2,0,0,0,0,0,0.095,0.095,0,2,0,2006,abadan01
FALSE,FALSE,Ace Adams,0,6,99,9,12,0,0,0,2,0,0.121,0.121,1,12,0,1946,adamsac01
FALSE,FALSE,Ray Cunningham,1,2,26,4,4,1,0,0,1,0,0.154,0.192,0,5,0,1932,cunnira01
FALSE,FALSE,Jose Garcia,0,1,2,0,1,0,0,0,0,0,0.500,0.500,0,1,0,2006,garcijo01
FALSE,FALSE,Thomas Gorman,1,1,106,22,34,4,2,0,0,0,0.321,0.396,0,42,0,1884,gormato04
FALSE,TRUE,Chuck Klein,1,17,6486,1168,2076,398,74,300,1201,79,0.320,0.543,2,3522,11,1944,kleinch01
FALSE,FALSE,Pedro Munoz,1,7,1708,203,467,75,8,67,252,11,0.273,0.444,0,759,0,1996,munozpe01
FALSE,FALSE,Patsy O'Rourke,1,1,164,8,32,4,2,0,16,2,0.195,0.244,0,40,0,1908,orourpa01
FALSE,FALSE,Dave Thies,0,1,6,1,2,1,0,0,1,0,0.333,0.500,0,3,0,1963,thiesda01
FALSE,FALSE,Hippo Vaughn,0,13,921,81,159,25,6,3,61,12,0.173,0.223,0,205,5,1921,vaughhi01
FALSE,FALSE,Tom Walsh,1,1,1,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1906,walshto01
FALSE,FALSE,Jim Winford,0,6,74,3,8,1,0,0,1,0,0.108,0.122,0,9,0,1938,winfoji01
FALSE,FALSE,Peter Bergeron,1,5,1103,171,249,41,13,8,56,31,0.226,0.308,0,340,0,2004,bergepe01
FALSE,FALSE,George Clark,0,1,4,0,2,1,0,0,0,0,0.500,0.750,0,3,0,1913,clarkge01
FALSE,FALSE,Paul Fittery,0,2,39,4,3,0,0,0,1,0,0.077,0.077,0,3,0,1917,fittepa01
FALSE,FALSE,Alex George,1,1,10,0,1,0,0,0,0,0,0.100,0.100,0,1,0,1955,georgal01
FALSE,FALSE,Robby Hammock,1,6,481,62,122,30,4,12,48,6,0.254,0.407,0,196,0,2011,hammoro01
FALSE,FALSE,Mitchell Parker,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2024,parkemi01
FALSE,FALSE,Jimmy Peoples,1,6,1251,157,264,38,13,7,141,55,0.211,0.279,0,349,0,1889,peoplji01
FALSE,FALSE,George Wilson,1,3,209,15,40,8,0,3,19,0,0.191,0.273,0,57,0,1956,wilsoge01
FALSE,TRUE,Jose Cardenal,1,18,6964,936,1913,333,46,138,775,329,0.275,0.395,0,2752,0,1980,cardejo02
FALSE,FALSE,Scott Coolbaugh,1,4,432,44,93,15,1,8,41,1,0.215,0.310,0,134,0,1994,coolbsc01
FALSE,TRUE,Ron Fairly,1,21,7184,931,1913,307,33,215,1044,35,0.266,0.408,2,2931,0,1978,fairlro01
FALSE,FALSE,Frank Huelsman,1,3,824,76,213,52,13,5,97,18,0.258,0.371,0,306,0,1905,huelsfr01
FALSE,FALSE,Harry Kelley,0,6,232,16,50,9,0,0,25,0,0.216,0.254,0,59,0,1939,kelleha01
FALSE,FALSE,Andy Larkin,0,3,32,1,4,0,0,0,0,0,0.125,0.125,0,4,0,2000,larkian01
FALSE,FALSE,Michael Rucker,0,3,1,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2023,ruckemi01
FALSE,FALSE,Don Werner,1,7,279,17,49,7,1,2,24,2,0.176,0.229,0,64,0,1982,wernedo01
FALSE,FALSE,Pelham Ballenger,1,1,9,0,1,0,0,0,0,0,0.111,0.111,0,1,0,1928,ballepe01
FALSE,FALSE,Arndt Jorgens,1,11,738,79,176,31,5,4,89,3,0.238,0.310,0,229,0,1939,jorgear01
FALSE,FALSE,Branden Kline,0,2,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2020,klinebr01
FALSE,FALSE,George Lauzerique,0,4,33,3,4,0,0,1,4,0,0.121,0.212,0,7,0,1970,lauzege01
FALSE,FALSE,Bob Ojeda,0,15,347,14,44,2,1,1,9,0,0.127,0.147,0,51,1,1994,ojedabo01
FALSE,FALSE,Mike Pelfrey,0,12,268,13,28,5,0,0,13,0,0.104,0.123,0,33,1,2017,pelfrmi01
FALSE,FALSE,Bud Podbielan,0,9,188,7,29,1,0,0,9,0,0.154,0.160,0,30,0,1959,podbibu01
FALSE,FALSE,Vince Shields,0,1,5,0,2,0,0,0,1,0,0.400,0.400,0,2,0,1924,shielvi01
FALSE,FALSE,Marvin Benard,1,9,2630,441,714,138,21,54,260,105,0.271,0.402,0,1056,0,2003,benarma01
FALSE,FALSE,Bill Bailey,0,11,366,23,71,4,1,0,15,3,0.194,0.210,0,77,0,1922,bailebi01
FALSE,TRUE,Jim Bibby,0,12,209,15,31,6,0,5,17,0,0.148,0.249,1,52,2,1984,bibbyji01
FALSE,FALSE,Ray Hayward,0,3,5,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1988,haywara01
FALSE,FALSE,Garth Iorg,1,9,2450,251,633,125,16,20,238,23,0.258,0.347,0,850,0,1987,iorgga01
FALSE,TRUE,Shoeless Joe Jackson,1,13,4981,873,1772,307,168,54,785,202,0.356,0.517,0,2577,11,1920,jacksjo01
FALSE,FALSE,Jared Jones,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2024,jonesja09
FALSE,TRUE,Ray Knight,1,13,4829,490,1311,266,27,84,595,14,0.271,0.390,2,1883,5,1988,knighra01
FALSE,FALSE,Ricky Ledee,1,10,2030,290,494,120,17,63,318,29,0.243,0.412,0,837,0,2007,ledeeri01
FALSE,TRUE,Ross Grimsley,0,11,353,21,45,4,0,0,15,0,0.127,0.139,1,49,1,1982,grimsro02
FALSE,FALSE,Marty Janzen,0,2,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1997,janzema01
FALSE,FALSE,Frank Rooney,1,1,35,1,7,0,1,1,8,2,0.200,0.343,0,12,0,1914,roonefr01
FALSE,FALSE,Joe Strain,1,3,520,60,130,15,1,1,29,9,0.250,0.288,0,150,0,1981,straijo01
FALSE,FALSE,Jeff Austin,0,3,8,0,1,0,0,0,0,0,0.125,0.125,0,1,0,2003,austije01
FALSE,FALSE,Joe Koshansky,1,2,50,5,9,4,0,3,10,0,0.180,0.440,0,22,0,2008,koshajo01
FALSE,FALSE,Walt Lerian,1,2,512,56,126,29,4,8,51,0,0.246,0.365,0,187,0,1929,leriawa01
FALSE,FALSE,Larry Lintz,1,6,616,137,140,13,1,0,27,128,0.227,0.252,0,155,0,1978,lintzla01
FALSE,FALSE,Nick Martinez,0,7,10,3,0,0,0,0,0,0,0.000,0.000,0,0,1,2024,martini01
FALSE,FALSE,Mark Portugal,0,15,450,33,89,20,1,2,36,0,0.198,0.260,0,117,1,1999,portuma01
FALSE,FALSE,Carlos Silva,0,9,58,0,5,2,0,0,3,0,0.086,0.121,0,7,0,2010,silvaca01
FALSE,FALSE,Dave Elder,0,2,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2003,elderda01
FALSE,FALSE,Art Evans,0,1,5,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1932,evansar01
FALSE,FALSE,Happy Foreman,0,2,4,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1926,foremha01
FALSE,FALSE,Bartolome Fortunato,0,2,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2006,fortuba01
FALSE,FALSE,Chris Gissell,0,1,1,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2004,gissech01
FALSE,FALSE,Sam LaRocque,1,3,482,66,120,22,5,2,50,28,0.249,0.328,0,158,0,1891,laroqsa01
FALSE,FALSE,Patrick O'Loughlin,1,1,5,0,2,0,0,0,0,0,0.400,0.400,0,2,0,1883,lough01
FALSE,FALSE,Erve Beck,1,3,912,122,265,42,11,9,123,12,0.291,0.390,0,356,0,1902,becker01
FALSE,FALSE,Joey Estes,0,2,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2024,estesjo01
FALSE,FALSE,Walter Jantzen,1,1,119,10,22,0,1,1,8,3,0.185,0.227,0,27,0,1912,jantzhe01
FALSE,FALSE,Val Majewski,1,1,13,3,2,1,0,0,1,0,0.154,0.231,0,3,0,2004,majewva01
FALSE,FALSE,Robert Manuel,0,2,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2010,manuero01
FALSE,FALSE,Nick Regilio,0,2,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2005,regilni01
FALSE,FALSE,Jack Salveson,0,5,77,8,20,5,0,3,10,0,0.260,0.442,0,34,0,1945,salveja01
FALSE,FALSE,Bert Delmas,1,1,28,4,7,0,0,0,0,0,0.250,0.250,0,7,0,1933,delmabe01
FALSE,FALSE,John Dettmer,0,2,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1995,dettmjo01
FALSE,FALSE,Benji Gil,1,8,1610,158,381,75,12,32,171,24,0.237,0.358,0,576,0,2003,gilbe01
FALSE,FALSE,Odell Hale,1,10,3701,551,1071,240,51,73,573,57,0.289,0.441,0,1632,0,1941,haleod01
FALSE,FALSE,Jason Szuminski,0,1,1,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2004,szumija01
FALSE,FALSE,Mark Watson,0,3,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2003,watsoma01
FALSE,FALSE,Greg Myers,1,18,3042,333,776,150,7,87,396,3,0.255,0.395,0,1201,0,2005,myersgr01
FALSE,TRUE,Phil Cavarretta,1,22,6754,990,1977,347,99,95,920,65,0.293,0.416,4,2807,5,1955,cavarph01
FALSE,TRUE,Mike Cuellar,0,15,661,37,76,8,4,7,33,0,0.115,0.171,4,113,4,1977,cuellmi01
FALSE,FALSE,Lena Styles,1,5,176,14,44,7,2,0,16,1,0.250,0.313,0,55,0,1931,stylele01
FALSE,FALSE,Herb Plews,1,4,1017,125,266,42,17,4,82,3,0.262,0.348,0,354,0,1959,plewshe01
FALSE,FALSE,Adam Russell,0,4,1,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2011,russead01
FALSE,FALSE,Bryan Shaw,0,14,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2024,shawbr01
FALSE,FALSE,Earl Battey,1,13,3586,393,969,150,17,104,449,13,0.270,0.409,4,1465,5,1967,batteea01
FALSE,FALSE,Jocko Halligan,1,3,737,123,207,30,15,10,132,23,0.281,0.403,0,297,0,1892,hallijo01
FALSE,FALSE,George Harper,0,2,77,12,12,2,1,0,6,0,0.156,0.208,0,16,0,1896,harpege01
FALSE,FALSE,Don Hood,0,10,20,5,4,0,0,0,1,0,0.200,0.200,0,4,0,1983,hooddo01
FALSE,FALSE,Jose Ortiz,1,3,123,14,37,9,1,0,6,3,0.301,0.390,0,48,0,1971,ortizjo01
FALSE,TRUE,Ron Perranoski,0,13,167,6,16,1,1,0,3,0,0.096,0.114,0,19,2,1973,perraro01
FALSE,FALSE,Tim Plodinec,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1972,ploditi01
FALSE,FALSE,John Andrews,0,1,2,0,1,0,0,0,0,0,0.500,0.500,0,1,0,1973,andrejo02
FALSE,FALSE,Joe Cicero,1,3,81,14,18,3,4,0,8,0,0.222,0.358,0,29,0,1945,cicerjo01
FALSE,FALSE,Jason Dubois,1,2,210,23,49,12,1,10,29,0,0.233,0.443,0,93,0,2005,duboija01
FALSE,FALSE,Jack Pierce,1,3,199,20,42,6,1,8,22,0,0.211,0.372,0,74,0,1975,piercja01
FALSE,TRUE,Pete Reiser,1,10,2662,473,786,155,41,58,368,87,0.295,0.450,3,1197,3,1952,reisepe01
FALSE,FALSE,Drew Robinson,1,3,223,32,45,8,0,9,22,2,0.202,0.359,0,80,0,2019,robindr01
FALSE,FALSE,Wib Smith,1,1,42,3,8,0,0,0,2,0,0.190,0.190,0,8,0,1909,smithwi01
FALSE,FALSE,Gil Britton,1,1,12,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1913,brittgi01
FALSE,FALSE,Tim Corcoran,0,3,4,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2007,corcoti02
FALSE,FALSE,Bob Vail,0,1,3,0,1,0,0,0,0,0,0.333,0.333,0,1,0,1908,vailbo01
FALSE,FALSE,Mike Munoz,0,12,7,2,1,1,0,0,1,0,0.143,0.286,0,2,0,2000,munozmi01
FALSE,FALSE,Pascual Perez,0,11,342,26,41,6,2,0,15,1,0.120,0.149,1,51,2,1991,perezpa01
FALSE,FALSE,Duke Sedgwick,0,2,29,1,5,0,0,0,2,0,0.172,0.172,0,5,0,1923,sedgwdu01
FALSE,FALSE,Steve Eddy,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1979,eddyst01
FALSE,FALSE,Pop Swett,1,1,106,17,21,5,3,1,15,5,0.198,0.330,0,35,0,1890,swettpo01
FALSE,FALSE,Josh Whitesell,1,2,115,8,23,7,0,2,15,0,0.200,0.313,0,36,0,2009,whitejo03
FALSE,FALSE,Jason Hart,1,1,15,2,4,3,0,0,0,0,0.267,0.467,0,7,0,2002,hartja01
FALSE,FALSE,Vinegar Bend Mizell,0,9,513,28,57,8,3,1,30,0,0.111,0.144,1,74,0,1962,mizelvi01
FALSE,FALSE,Matt Palmer,0,5,10,1,2,0,0,0,0,0,0.200,0.200,0,2,0,2012,palmema01
FALSE,FALSE,Beryl Richmond,0,2,6,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1934,richmbe01
FALSE,FALSE,Elmer Rieger,0,1,3,1,0,0,0,0,0,0,0.000,0.000,0,0,0,1910,riegeel01
FALSE,FALSE,John Barnes,1,2,58,6,14,4,0,0,2,0,0.241,0.310,0,18,0,2001,barnejo01
FALSE,FALSE,Don Black,0,6,256,11,47,4,0,0,19,1,0.184,0.199,0,51,0,1948,blackdo01
FALSE,FALSE,Dennis Burtt,0,2,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1986,burttde01
FALSE,FALSE,Bobby Castillo,0,9,39,1,6,2,0,0,1,0,0.154,0.205,0,8,0,1985,castibo01
FALSE,FALSE,Bill Stuart,1,2,80,5,19,3,0,0,10,2,0.238,0.275,0,22,0,1899,stuarbi01
FALSE,FALSE,Lloyd Johnson,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1934,johnsll01
FALSE,FALSE,Jordan Montgomery,0,8,7,0,0,0,0,0,0,0,0.000,0.000,0,0,4,2024,montgjo01
FALSE,FALSE,Geno Petralli,1,12,1874,184,501,83,9,24,192,8,0.267,0.360,0,674,0,1993,petrage01
FALSE,FALSE,Dennis Saunders,0,1,5,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1970,saundde01
FALSE,TRUE,Lew Burdette,0,18,1011,101,185,27,4,12,75,2,0.183,0.253,2,256,2,1967,burdele01
FALSE,FALSE,Pit Gilman,1,1,10,0,1,0,0,0,0,0,0.100,0.100,0,1,0,1884,gilmapi01
FALSE,FALSE,Marcus Stroman,0,10,89,9,9,3,0,1,2,1,0.101,0.169,1,15,2,2024,stromma01
FALSE,FALSE,Perry Werden,1,7,2746,444,774,109,87,26,439,151,0.282,0.413,0,1135,0,1897,werdepe01
FALSE,FALSE,Darrell Woodard,1,1,9,10,0,0,0,0,0,3,0.000,0.000,0,0,0,1978,woodada01
FALSE,FALSE,Rick Joseph,1,5,633,69,154,26,1,13,65,2,0.243,0.349,0,221,0,1970,josepri01
FALSE,FALSE,Henry Rodriguez,1,2,23,0,4,1,0,0,2,0,0.174,0.217,0,5,0,2013,rodrihe04
FALSE,FALSE,Esix Snead,1,2,13,4,4,0,0,1,3,4,0.308,0.538,0,7,0,2004,sneades01
FALSE,FALSE,Joe McCabe,1,2,46,2,8,0,0,1,7,1,0.174,0.239,0,11,0,1965,mccabjo01
FALSE,FALSE,Dan McGarvey,1,1,3,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1912,mcgarda01
FALSE,FALSE,Buddy Black,0,15,179,6,26,4,0,0,12,0,0.145,0.168,0,30,1,1995,blackbu02
FALSE,FALSE,Cal Ermer,1,1,3,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1947,ermerca01
FALSE,FALSE,Ed Glenn,1,3,525,66,106,8,11,1,29,20,0.202,0.265,0,139,0,1888,glenned01
FALSE,FALSE,Alexander Donoghue,1,1,22,2,7,1,0,0,2,0,0.318,0.364,0,8,0,1891,donohjo01
FALSE,FALSE,Frank Gracesqui,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2004,gracefr01
FALSE,FALSE,Jerry Turner,1,10,1742,222,448,73,9,45,238,45,0.257,0.387,0,674,0,1983,turneje01
FALSE,FALSE,Edgardo Henriquez,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2024,henried01
FALSE,FALSE,Tim Hyers,1,4,230,22,50,8,1,2,19,3,0.217,0.287,0,66,0,1999,hyersti01
FALSE,FALSE,Hugh Poland,1,5,211,8,39,10,1,0,19,0,0.185,0.242,0,51,0,1948,polanhu01
FALSE,FALSE,Al Froehlich,1,1,1,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1909,froelbe01
FALSE,FALSE,J. T. Ginn,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2024,ginnjt01
FALSE,TRUE,Chet Lemon,1,16,6868,973,1875,396,61,215,884,58,0.273,0.442,3,3038,2,1990,lemonch01
FALSE,FALSE,Fran Mullins,1,3,212,20,43,16,0,2,18,3,0.203,0.307,0,65,0,1986,mullifr01
FALSE,FALSE,Dioner Navarro,1,13,3207,322,802,142,6,77,367,14,0.250,0.370,1,1187,0,2016,navardi01
TRUE,TRUE,Rafael Palmeiro,1,20,10472,1663,3020,585,38,569,1835,97,0.288,0.515,4,5388,18,2005,palmera01
FALSE,FALSE,Phil Ervin,1,4,586,75,145,26,8,17,68,15,0.247,0.406,0,238,0,2020,ervinph01
